City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,wenchang,30.904,118.4887,25.63,94,100,1.95,CN,1689863978
161,gombi,10.1614,12.7399,33.32,37,65,0.66,NG,1689863978
162,severo-yeniseyskiy,60.3725,93.0408,16.52,53,18,1.75,RU,1689863978
163,mahina,-17.5065,-149.489,23.87,60,75,7.2,PF,1689863978
164,hook,51.2842,-0.9597,22.63,44,0,3.09,GB,1689863978
165,xiamen,24.4798,118.0819,30.03,79,0,2.0,CN,1689863722
166,mitchell,43.7094,-98.0298,18.99,82,0,5.14,US,1689863978
167,mbanza kongo,-6.267,14.2401,31.35,27,18,2.42,AO,1689863978
168,coxen hole,16.3244,-86.5366,30.2,84,40,6.17,HN,1689863979
169,klyuchi,52.2667,79.1667,22.67,54,90,3.87,RU,1689863979
170,lakki,32.6079,70.9114,35.5,45,7,3.17,PK,1689863979
171,hithadhoo,-0.6,73.0833,28.06,77,18,7.41,MV,1689863980
172,sitka,57.0531,-135.33,12.94,88,40,0.0,US,1689863980
173,tangalle,6.024,80.7911,29.09,85,96,4.76,LK,1689863981
174,chonchi,-42.6128,-73.8092,11.73,90,100,5.48,CL,1689863981
175,pismo beach,35.1428,-120.6413,17.33,100,100,2.57,US,1689863981
176,punta del este,-34.9667,-54.95,13.87,84,0,2.57,UY,1689863981
177,torghay,49.6339,63.4981,22.47,58,75,4.71,KZ,1689863981
178,san patricio,28.017,-97.5169,31.92,53,89,5.01,US,1689863981
179,catabola,-12.15,17.2833,28.49,15,55,4.25,AO,1689863981
180,herval,-32.0236,-53.3956,13.74,83,100,2.31,BR,1689863981
181,vershino-darasunskiy,52.35,115.5167,12.38,55,28,1.69,RU,1689863982
182,hamilton,39.1834,-84.5333,27.21,83,20,2.57,US,1689863947
183,tolanaro,-25.0319,46.9987,22.04,88,20,4.12,MG,1689863982
184,happy valley-goose bay,53.3168,-60.3315,21.17,56,40,7.2,CA,1689863982
185,nuuk,64.1835,-51.7216,9.34,100,100,1.03,GL,1689863982
186,sao romao,40.4012,-7.7146,30.06,40,0,2.24,PT,1689863982
187,namie,37.4833,141.0,23.17,88,54,1.84,JP,1689863982
188,chikitigarh,19.2,84.6167,27.13,85,99,1.84,IN,1689863983
189,margate,51.3813,1.3862,19.83,76,58,1.79,GB,1689863983
190,cabedelo,-6.9811,-34.8339,27.37,73,48,8.97,BR,1689863983
191,hilo,19.7297,-155.09,23.47,99,100,3.09,US,1689863752
192,el chorrillo,-33.2909,-66.268,16.17,33,27,1.91,AR,1689863983
193,tutoia,-2.7619,-42.2744,31.01,48,0,2.91,BR,1689863983
194,bastia,42.6667,9.3333,36.89,65,0,5.14,FR,1689863983
195,nova sintra,14.8667,-24.7167,23.92,75,95,2.97,CV,1689863983
196,susuman,62.7833,148.1667,18.65,68,73,3.9,RU,1689863984
197,olonkinbyen,70.9221,-8.7187,5.65,85,100,1.23,SJ,1689863984
198,enoch,37.7733,-113.0244,24.15,53,0,0.45,US,1689863984
199,nadym,65.5333,72.5167,25.44,55,84,4.18,RU,1689863984
200,mahanje,-9.9333,35.3333,23.62,40,29,2.4,TZ,1689863984
201,paullo,45.4187,9.3977,33.74,50,0,3.09,IT,1689863984
202,galveston,29.3669,-94.9669,32.77,76,0,3.6,US,1689863984
203,zhosaly,45.4878,64.0781,32.5,19,60,9.72,KZ,1689863984
204,lingig,8.0389,126.4125,25.54,89,96,2.05,PH,1689863984
205,gisborne,-38.6533,178.0042,11.71,87,100,3.02,NZ,1689863984
206,sines,37.9562,-8.8698,21.27,77,0,9.79,PT,1689863985
207,fale old settlement,-9.3852,-171.2468,28.49,76,24,5.8,TK,1689863985
208,westport,41.1415,-73.3579,29.05,68,0,3.09,US,1689863922
209,pechora,65.1472,57.2244,23.64,59,100,3.86,RU,1689863985
210,vorkuta,67.5,64.0,24.06,64,92,3.2,RU,1689863985
211,mae chai,19.346,99.814,24.2,95,99,1.29,TH,1689863985
212,bargaal,11.2864,51.0773,32.76,45,99,9.76,SO,1689863985
213,nova odesa,47.3078,31.7851,27.07,64,84,4.61,UA,1689863985
214,likiep,9.8251,169.3107,28.63,76,100,7.76,MH,1689863985
215,kangaba,11.9333,-8.4167,34.75,38,55,3.27,ML,1689863985
216,belyy yar,53.6039,91.3903,22.94,60,0,0.0,RU,1689863986
217,la ronge,55.1001,-105.2842,18.14,77,75,3.6,CA,1689863986
218,adamovka,51.5223,59.9396,22.93,47,89,4.59,RU,1689863986
219,baruun-urt,46.6806,113.2792,16.53,76,98,7.72,MN,1689863986
220,rakops,-21.0167,24.3333,23.69,15,0,4.92,BW,1689863986
221,talnakh,69.4865,88.3972,18.45,87,100,3.91,RU,1689863986
222,bayanhongor,46.7167,100.1167,14.5,52,47,0.1,MN,1689863986
223,codrington,-38.2667,141.9667,7.99,78,47,4.84,AU,1689863986
224,bethanie,-26.4833,17.15,17.2,21,5,5.73,NA,1689863986
225,stepnoye,51.4,46.8667,21.07,53,79,4.41,RU,1689863991
226,ilulissat,69.2167,-51.1,9.01,87,75,4.63,GL,1689863992
227,mgandu,-5.95,34.1333,26.27,21,16,2.97,TZ,1689863992
228,kouango,4.9934,19.9619,28.66,74,74,2.17,CF,1689863992
229,al ghayzah,16.2079,52.176,27.2,82,98,5.44,YE,1689863992
230,afaahiti,-17.75,-149.2833,22.93,66,60,8.13,PF,1689863992
231,olyokminsk,60.3736,120.4264,12.63,96,68,2.03,RU,1689863992
232,udachny,66.4167,112.4,14.14,93,100,1.67,RU,1689863992
233,umm kaddadah,13.6017,26.6876,34.6,27,38,5.24,SD,1689863992
234,ambodifotatra,-16.9833,49.85,24.11,84,100,8.5,MG,1689863992
235,sassandra,4.95,-6.0833,25.92,84,92,4.02,CI,1689863993
236,zhezqazghan,47.7833,67.7667,31.32,20,0,4.0,KZ,1689863993
237,lagos,6.5833,3.75,30.18,71,85,5.05,NG,1689863255
238,ajaigarh,24.9,80.2667,32.85,54,52,2.34,IN,1689863993
239,hadibu,12.65,54.0333,25.61,77,100,8.1,YE,1689863993
240,ingeniero guillermo n. juarez,-23.9,-61.85,21.13,33,100,4.98,AR,1689863993
241,brookings,44.3114,-96.7984,20.25,83,0,5.14,US,1689863993
242,kapuskasing,49.4169,-82.4331,15.05,100,100,2.06,CA,1689863746
243,manakara,-22.1333,48.0167,22.68,80,69,2.88,MG,1689863993
244,karratha,-20.7377,116.8463,19.88,54,2,3.92,AU,1689863993
245,kharela,25.55,79.8167,36.04,43,58,2.34,IN,1689863994
246,arkhangel'sk,64.5401,40.5433,23.27,61,68,2.58,RU,1689863994
247,kirensk,57.7853,108.1119,15.26,79,30,0.2,RU,1689863994
248,new norfolk,-42.7826,147.0587,8.73,92,83,1.29,AU,1689863994
249,jolo,6.05,121.0167,25.38,85,24,1.01,PH,1689863994
250,ceylanpinar,36.8472,40.05,40.43,7,0,7.06,TR,1689863994
251,mukharram al fawqani,34.8151,37.0861,31.98,22,0,8.94,SY,1689863994
252,assab,13.0092,42.7394,32.92,67,100,7.72,ER,1689863994
253,akureyri,65.6835,-18.0878,8.96,81,20,5.66,IS,1689863994
254,port macquarie,-31.4333,152.9167,4.94,52,0,2.84,AU,1689863836
255,nishinoomote,30.7333,131.0,27.15,85,97,4.57,JP,1689863995
256,muli,2.9167,73.5667,28.34,75,50,4.81,MV,1689863995
257,newman,37.3138,-121.0208,21.19,10,0,2.48,US,1689863995
258,manadhoo,5.7667,73.3833,28.47,79,100,7.52,MV,1689863995
259,ares,-6.1944,-35.1603,29.05,60,14,9.21,BR,1689863995
260,kerikeri,-35.2268,173.9474,8.84,95,7,1.31,NZ,1689863995
261,juneau,58.3019,-134.4197,15.06,95,75,0.0,US,1689863728
262,gloucester,51.8657,-2.2431,20.84,67,40,3.09,GB,1689863903
263,kamin-kashyrskyi,51.6241,24.9586,19.38,67,72,2.64,UA,1689863995
264,ghat,24.9647,10.1728,38.21,11,0,4.4,LY,1689863995
265,kattivakkam,13.2167,80.3167,34.05,71,94,2.7,IN,1689863996
266,dire,12.2833,-10.9667,31.07,55,93,2.73,ML,1689863996
267,kapa'a,22.0752,-159.319,27.18,87,75,7.2,US,1689863996
268,erenhot,43.6475,111.9767,26.8,39,96,9.64,CN,1689863996
269,yaren,-0.5472,166.916,27.48,78,97,5.96,NR,1689863996
270,punta arenas,-53.15,-70.9167,2.34,73,96,5.9,CL,1689863907
271,nemuro,43.3236,145.575,13.86,91,26,2.35,JP,1689863996
272,banda aceh,5.5577,95.3222,27.23,78,54,6.42,ID,1689863996
273,mhamid,29.82,-5.72,43.26,6,0,5.96,MA,1689863996
274,hami,42.8,93.45,33.85,11,48,0.71,CN,1689863997
275,castillos,-34.1667,-53.8333,15.57,74,100,5.03,UY,1689863997
276,vernon,50.2581,-119.2691,21.83,52,0,1.54,CA,1689863940
277,barabai,-2.5833,115.3833,23.51,98,18,0.96,ID,1689863997
278,salinopolis,-0.6136,-47.3561,29.44,67,0,4.27,BR,1689863997
279,ashland,40.8167,-82.2665,26.3,89,65,5.53,US,1689863997
280,porto novo,6.4965,2.6036,29.9,68,79,6.05,BJ,1689863997
281,prince rupert,54.3161,-130.3201,13.83,100,100,1.03,CA,1689863997
282,yelovo,57.0538,54.9207,21.12,51,67,6.09,RU,1689863997
283,palu,-0.8917,119.8707,24.58,96,91,1.09,ID,1689863997
284,pisco,-13.7,-76.2167,20.03,73,100,1.03,PE,1689863998
285,taulaga,-11.0553,-171.0883,28.13,76,12,5.45,AS,1689863998
286,tome,-36.6167,-72.95,12.34,80,100,7.99,CL,1689863998
287,wehrheim,50.3,8.5667,24.75,39,100,3.18,DE,1689863998
288,itaituba,-4.2761,-55.9836,32.09,62,20,2.57,BR,1689863929
289,xilin hot,43.9667,116.0333,19.61,67,49,3.29,CN,1689863998
290,sihanoukville,10.6093,103.5296,24.97,94,100,1.03,KH,1689863998
291,nikolayevsk-on-amure,53.1406,140.73,16.78,98,50,1.75,RU,1689863721
292,taltal,-25.4,-70.4833,19.4,65,62,1.57,CL,1689863998
293,arkhipo-osipovka,44.37,38.52,26.1,56,0,3.53,RU,1689863998
294,waspan,14.7419,-83.9717,28.64,80,100,3.44,NI,1689863999
295,puerto escondido,15.85,-97.0667,26.46,73,40,3.6,MX,1689863824
296,melfort,52.8667,-104.6177,17.07,72,13,3.6,CA,1689863999
297,cockburn town,21.4612,-71.1419,28.17,80,75,7.93,TC,1689863999
298,remire-montjoly,4.9167,-52.2667,32.02,62,75,3.6,GF,1689863999
299,olinda,-8.0089,-34.8553,23.85,83,40,8.75,BR,1689863999
300,yuzhno-kurilsk,44.0306,145.8556,12.79,94,3,2.93,RU,1689863999
301,angaur state,6.906,134.13,28.58,80,100,8.67,PW,1689863999
302,ponta delgada,37.7333,-25.6667,23.4,78,40,3.6,PT,1689863999
303,daru,-9.0763,143.2092,24.77,80,100,5.27,PG,1689863999
304,vilyuysk,63.7553,121.6247,15.48,82,26,1.79,RU,1689864000
305,kilju,40.9642,129.3278,20.39,96,6,0.43,KP,1689864000
306,port saint john's,-31.6229,29.5448,14.25,57,93,4.61,ZA,1689864000
307,polyarnyy,69.1989,33.4478,11.3,84,100,8.93,RU,1689864000
308,arraial do cabo,-22.9661,-42.0278,21.92,64,75,4.63,BR,1689863851
309,bikenibeu village,1.3673,173.1241,26.98,94,100,2.57,KI,1689864001
310,pabrade,55.0,25.7833,19.12,49,100,2.82,LT,1689864001
311,sorong,-0.8833,131.25,26.04,86,18,4.95,ID,1689864001
312,ta`u,-14.2336,-169.5144,26.32,78,100,9.87,AS,1689864001
313,badger,64.8,-147.5333,17.51,95,75,0.0,US,1689863778
314,valparaiso,-33.0393,-71.6273,15.0,90,100,2.06,CL,1689864002
315,sabang,5.8933,95.3214,29.08,74,41,10.74,ID,1689863877
316,bagrationovsk,54.3871,20.6437,19.09,61,100,4.87,RU,1689864002
317,dabat,12.9842,37.765,14.77,83,100,2.39,ET,1689864004
318,richmond,37.5538,-77.4603,30.11,66,40,3.09,US,1689863677
319,swakopmund,-22.6833,14.5333,13.17,80,21,2.43,NA,1689864004
320,hengshui,37.7322,115.7011,26.26,77,57,2.49,CN,1689864004
321,ambon,-3.6954,128.1814,26.6,95,40,3.09,ID,1689864005
322,leeton,-34.5667,146.4,10.5,96,100,1.7,AU,1689864005
323,bereznik,62.8551,42.7072,20.79,87,99,2.17,RU,1689864005
324,la sarre,48.8002,-79.1996,20.13,58,95,2.34,CA,1689864006
325,san luis,-33.295,-66.3356,16.15,34,28,4.78,AR,1689864006
326,am timan,11.0297,20.2827,27.35,63,99,3.06,TD,1689864006
327,murgab,37.4966,61.9714,35.93,19,0,4.12,TM,1689864006
